run,event,n.charged,n.muon,p.charged,e.ecal,e.hcal,e.lep,cos.t
5227,714,4,0,43.8,8.2,2,45.57,0.9993
5227,934,2,0,31.4,36.1,0.2,45.57,0.9987
5227,984,2,1,43,31.7,2.4,45.57,0.9998
5227,1402,5,0,37.6,43,0.6,45.57,0.9975
5227,1524,2,0,55,49.7,36.8,45.57,0.9978
5227,1532,2,0,33.9,52,13.6,45.57,0.9993
5227,1663,3,0,0,31.1,0.3,45.57,NA
5227,2252,14,0,44.7,35.7,3.3,45.57,0.9988
5227,2564,6,0,2,90.8,0.7,45.57,0.998
5227,2954,6,0,67,45,33.6,45.57,0.9982
5227,3913,2,2,99.3,16.6,16.8,45.57,0.9982
5227,4083,4,0,45.8,40.1,38.2,45.57,0.9929
5227,4628,8,0,0,70.8,0,45.57,NA
5227,4692,2,1,30.4,21.7,7.5,45.57,0.9969
5227,5753,2,1,41.1,40.6,2.6,45.57,0.9998
5227,5821,2,0,26.9,51.8,0,45.57,0.9996
5227,6533,4,0,64.6,29.8,9.2,45.57,0.9985
5227,6541,13,0,44.9,37.5,2.2,45.57,0.9973
5227,6724,2,1,25,44.9,4.1,45.57,0.9978
5227,7093,2,0,29.8,36.5,23.4,45.57,0.9958
5227,7228,4,0,42,42.4,0.5,45.57,0.9994
5227,7667,2,1,22.4,17.1,10.3,45.57,0.7905
5227,7877,4,0,13.1,29,0,45.57,0.9969
5227,8109,4,0,47.7,25.1,2,45.57,0.9981
5227,8485,2,0,30.4,24.4,4.8,45.57,0.9994
5227,9671,6,0,37,27.5,4.6,45.57,0.9983
5227,9731,2,1,52.2,30.6,2.3,45.57,0.9995
5227,9825,3,1,92.8,3.5,2.3,45.57,1
5227,9918,2,0,93.6,4.1,0,45.57,NA
5227,9940,4,1,41.1,21.3,2,45.57,0.999
5227,10673,2,1,23.8,43,1,45.57,0.9987
5227,10783,2,1,53.6,15,16.2,45.57,0.9855
5227,11727,5,0,7.2,6.2,1.8,45.57,0.9818
5227,11905,2,0,25.1,20.6,10.7,45.57,0.9973
5227,12319,5,0,18.7,32.4,0.3,45.57,0.998
5227,13242,2,1,37.8,33.3,8.2,45.57,0.9984
5227,14116,4,0,44.9,42.1,5.4,45.57,0.9986
5227,14443,6,1,0,16.5,3.2,45.57,NA
5227,14530,4,0,38.2,30.2,4.4,45.57,0.9978
5227,14989,2,1,65.6,41.5,4,45.57,0.9868
5227,15537,2,1,14.5,27.8,6.1,45.57,0.9159
5227,15893,4,1,55.5,8.6,11.1,45.57,0.999
5228,206,5,0,25.4,55.7,0.2,45.57,0.9998
5228,732,4,0,28.8,49.2,1.6,45.57,0.9855
5228,819,2,0,27.9,33.5,0,45.57,0.999
5228,1139,2,0,32.2,27.1,9.6,45.57,0.997
5228,1287,8,0,12.4,61,0.2,45.57,0.9885
5228,1590,2,0,5.5,86.4,0.2,45.57,1
5228,1677,6,0,21.5,27.3,11.3,45.57,0.9981
5228,2200,8,1,23.3,33,4.5,45.57,0.982
