"","h","e","m","t","min","max"
"(0,5]",0,0,42,2,0,5
"(5,10]",0,0,7,3,5,10
"(10,15]",0,0,1,1,10,15
"(15,20]",0,0,0,3,15,20
"(20,25]",2,0,0,4,20,25
"(25,30]",0,0,0,7,25,30
"(30,35]",3,0,0,8,30,35
"(35,40]",8,0,0,4,35,40
"(40,45]",6,0,0,9,40,45
"(45,50]",5,0,0,2,45,50
"(50,55]",11,0,0,2,50,55
"(55,60]",11,1,0,1,55,60
"(60,65]",0,2,0,1,60,65
"(65,70]",3,1,0,0,65,70
"(70,75]",1,2,0,1,70,75
"(75,80]",0,2,0,0,75,80
"(80,85]",0,3,0,0,80,85
"(85,90]",0,5,0,1,85,90
"(90,95]",0,28,0,1,90,95
"(95,100]",0,3,0,0,95,100
"(100,105]",0,2,0,0,100,105
"(105,110]",0,0,0,0,105,110
"(110,115]",0,0,0,0,110,115
"(115,120]",0,0,0,0,115,120
"(120,125]",0,1,0,0,120,125
